fold,predict_ic,n_samples
1,0.07991288182188083,6300
2,0.05818500836160842,6300
3,0.12609246716336311,6300
4,-0.030093226888886805,6300
5,0.03844411831908745,6300
6,-0.03136189570117632,6300
7,-0.0020937932572889116,6300
8,0.18340356477189854,6300
9,0.07758663414418569,6300
10,-0.061977769678501445,6300
11,-0.08259832474567347,6300
12,0.02931391770194684,6300
13,0.05159871902393629,6300
14,-0.046022432835618944,6300
15,0.056724897805551094,6300
16,0.024590779003298206,6300
17,0.08339406289649101,6300
18,-0.027478373283447675,6300
19,0.1942839923483084,6300
20,0.04453212068966239,6300
21,0.07004196906754662,6300
22,0.07814540265693956,6300
23,0.08252542534833292,3200
