strategy,period,sharpe,ann_return,ann_vol,max_dd,total_return
Long_Only_Weekly,IS,0.8372176359826375,0.14940535904203564,0.17845462472452508,-0.2887715669380867,0.5679725113671723
Long_Only_Weekly,OOS,1.1247323128583193,0.189362088044457,0.16836191676864415,-0.16008787263903046,0.4840986560047209
EW_BuyHold,IS,0.916534518558359,0.16159613591396008,0.1763121111555502,-0.24863713422933176,0.6358774185660252
EW_BuyHold,OOS,0.7757480430192156,0.12908309287602424,0.16639821916099476,-0.19006685813288704,0.29655248815838764
Long_Only_Top20,IS,0.6732994998992218,0.1199765954154317,0.17819201623258232,-0.31453054934035385,0.42004161039685006
Long_Only_Top20,OOS,1.0926070090713595,0.18482372017161508,0.16915846103596066,-0.16388222136758757,0.4685607743087101
LS_Monthly,IS,0.5158548455170373,0.06129818535029367,0.11882836011524708,-0.15562840223530938,0.2008086357822514
LS_Monthly,OOS,0.561188318340158,0.07672296504330652,0.13671518550177972,-0.2612266713376845,0.1641486536211787
LS_Top20_Bot20,IS,-0.25390025206722844,-0.030726512306383635,0.12101804569397505,-0.20262917863337682,-0.12041607076509753
LS_Top20_Bot20,OOS,1.1460242305605413,0.16166501078434317,0.14106596219634018,-0.17880111736476945,0.40778064883489096
