Strategy,Sharpe,CAGR,Volatility,Max DD
Top 30% (30 stocks),5.40332257898723,0.6320270493304085,0.09151020771915376,-0.027285376678401377
Vol Target 10%,5.192307900276168,0.6838386714936004,0.10144332674266548,-0.02632771383984333
VG + Regime Scaling,5.066316765819454,0.5413029991689613,0.08619494891794902,-0.026455454837376907
Top 20% (20 stocks),4.994577676671322,0.5944012673213237,0.0943736608261283,-0.028660866573335712
Top 10% (10 stocks),4.989344374082189,0.700059662947651,0.10762297885238312,-0.02494432541964368
Top 10% + Vol 15%,4.975944574566326,1.1371956475187988,0.1552569188323821,-0.038122431402886355
Top 10% + Vol 20%,4.966354400401856,1.597347733545075,0.1963903170480329,-0.049829908537181895
Top 10% + Vol 25%,4.96020705713892,2.0977043719677386,0.23389661160749214,-0.0569438113897189
Top 5% + Vol 25%,4.879917589123242,2.3591649680667746,0.25545950549219515,-0.07666139988158022
Top 5% + Vol 20%,4.87540873666054,1.7487888893835843,0.21236327666105043,-0.061553197526495226
Top 5% + Vol 15%,4.852232047766733,1.2377137975936559,0.1691667079054087,-0.04633295636079458
Top 5% (5 stocks),4.798511757471511,0.8769199892924653,0.13320050681250817,-0.03214458153554495
VG Baseline (window=10),3.9135256167185797,0.5738667973731344,0.11776628643367623,-0.08083379592032022
EW Baseline (Buy & Hold),1.423918863846575,0.20011116807321416,0.13447415675114816,-0.15048314712667715
